objectid;globalid;fecha_y_hora_de_entrega_efectiv;numeroinspeccion;zona;tipologiacsv;contrato;domicilio;ruta1;ruta2;ruta3;ruta4;ruta5;ruta6;incidencias;tipoincidencia;servicio;direccion_1;viviendas;facilacceso;armariobuenestado;arquetaconpuerta;arquetafachada;arquetanivelsuelo;caracteristicas;ncontadores;calibrecontador;calibre13;calibre15;calibre20;calibre32;calibre40;calibre50;materialtuberias;llavepaso;juegollaves;valvularetencion;tuberiaentrada;roscacontadore;tamanoroscae;roscacontadors;tamanoroscas;direccion_bat;viviendasbat;llavescasa;llavescontadores;situacionbat;plantabaja;accesobat;usocomun;llavepasocerca;sepradogas;armarioid;armariounico;armario12;instestanca;desague;aljibe;idvivienda;tecnicas_bat_1;calibrebat;tecnicas_bat_2;tecnicas_bat_3;tecnicas_bat_4;tecnicas_bat_5;tecnicas_bat_6;tecnicas_bat_7;tecnicas_bat_8;tecnicas_bat_9;tecnicas_bat_10;tecnicas_bat_11;tecnicas_bat_12;tecnicas_bat_13;tecnicas_bat_14;tecnicas_bat_15;tecnicas_bat_16;tecnicas_bat_17;tecnicas_bat_18;tecnicas_bat_19;tecnicas_bat_20;roscacontadorebat;tamanoroscaebat;roscacontadorsbat;tamanoroscasbat;valvularetencionentrada;cerradura;estadobat;usuario;observaciones;apto;aptono5;aptono6;aptono2;aptono3;created_date;created_user;last_edited_date;last_edited_user;countattachments;attachid;url;attachid_last;url_final;domicilio_v2;calibre65;calibre80;calibre100;estadocontador;tecnicas_bat_7_1;tecnicas_bat_7_2;tecnicas_bat_7_3;juegollavesbat;realizado_user;firma1;firma2;x;y
3160;{B148941C-1856-450D-8B1C-72F33C77F85D};02/08/2023 9:23;Inspeccion_230802112309;ZONA 2;Contador Individual;7817;ANTONIO SAN JOSE- 1- E:0- Pi:0- Pu:0;32;20;N/A;1875;360;N/A;SI;;CONTADORES;ANTONIO SAN JOSE- 1- E:0- Pi:0- Pu:0;1;SI;SI;SI;SI;NO;;1;13;1;;;;;;Cobre;SI;NO;NO;SI;SI;15;SI;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H;;SI;;NO APTO;;;04/09/2023 13:08;jsanzd@sacyr.com;04/09/2023 14:44;jsanzd@sacyr.com;5;14813;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3160/attachments/14813;14815;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3160/attachments/14815;;;;;;;;;;;;;-2,946267547;35,28756961
3161;{411A87A4-F798-4CAC-9F6E-71A55BD2F538};02/08/2023 9:27;Inspeccion_230802112743;ZONA 2;Contador Individual;5946;CL/ TERCIO DE LOS MORADOS- Nº 4;32;20;N/A;1875;380;N/A;SI;;CONTADORES;CL/ TERCIO DE LOS MORADOS- Nº 4;4;SI;SI;NO;NO;NO;;1;13;1;;;;;;Cobre;SI;NO;NO;SI;SI;15;SI;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INSPECTOR_001;;SI;;NO APTO;;;04/09/2023 13:08;jsanzd@sacyr.com;04/09/2023 14:44;jsanzd@sacyr.com;5;14821;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3161/attachments/14821;14819;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3161/attachments/14819;;;;;;;;;;;;;-2,946116421;35,28777271
3162;{5BC672E5-B2FB-45FA-B926-E66AF30A814B};02/08/2023 9:33;Inspeccion_230802113326;ZONA 2;Contador General;4730;CARLOS V Nº 40 BJ B;32;20;N/A;1875;400;N/A;SI;;CONTADORES;CARLOS V Nº 40 BJ B;14;SI;SI;SI;SI;SI;;1;15;;1;;;;;Polipropileno;SI;NO;SI;SI;SI;25;SI;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H;;SI;;NO APTO;;;04/09/2023 13:08;jsanzd@sacyr.com;04/09/2023 14:44;jsanzd@sacyr.com;5;14822;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3162/attachments/14822;14825;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3162/attachments/14825;;;;;;;;;;;;;-2,945908718;35,2873024
3185;{9FC6E3E4-E14B-422D-B69F-1D63EA19B18C};02/08/2023 9:36;Inspeccion_230802113638;ZONA 2;Batería;4730;CARLOS V Nº 40 BJ B;32;20;N/A;1875;400;N/A;SI;;BATERIAS;CARLOS V Nº 40 BJ B;;;;;;;;;;;;;;;;;;;;;;;;;CARLOS V Nº 40 BJ B;14;SI;SI;;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;13;13;13;;;;;;Polipropileno;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;20;SI;20;SI;SI;bueno;Nono;Direccion erronea , por Tercio de los Napolitanos 8;SI;;;;NO APTO;04/09/2023 13:08;jsanzd@sacyr.com;04/09/2023 14:44;jsanzd@sacyr.com;5;14934;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3185/attachments/14934;14937;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3185/attachments/14937;;;;;;;;;;;;;-2,945867982;35,2873161
3320;{B513CC69-7DAA-4711-90FE-16CACF271752};11/08/2023 8:28;Inspeccion_230811102805;ZONA 2;Contador General;6329;CABO NOVAL Nº26;32;30;N/A;2330;N/A;N/A;SI;;CONTADORES;CABO NOVAL Nº26;4;SI;SI;SI;SI;SI;;1;20;;;1;;;;Polipropileno;SI;SI;SI;SI;SI;25;SI;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H;;SI;APTO;;;;04/09/2023 13:08;jsanzd@sacyr.com;04/09/2023 14:44;jsanzd@sacyr.com;5;15602;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3320/attachments/15602;15604;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3320/attachments/15604;;;;;;;;;;;;;-2,947173379;35,28865591
3321;{925BE58A-201D-4169-AE0A-DB985868C4B1};11/08/2023 8:31;Inspeccion_230811103151;ZONA 2;Batería;6329;CABO NOVAL Nº26;32;30;N/A;2330;N/A;N/A;SI;;BATERIAS;CABO NOVAL Nº26;;;;;;;;;;;;;;;;;;;;;;;;;CABO NOVAL Nº26;4;NO;SI;;SI;SI;SI;SI;SI;NO;SI;SI;SI;NO;SI;NO;8;13;8;;;;;;Polipropileno;SI;NO;NO;NO;SI;SI;NO;SI;SI;SI;SI;SI;SI;15;SI;15;SI;NO;bueno;H;;SI;;;;NO APTO;04/09/2023 13:08;jsanzd@sacyr.com;04/09/2023 14:44;jsanzd@sacyr.com;5;15606;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3321/attachments/15606;15609;https://gisaguas.sacyr.com/server/rest/services/Hosted/service_60d0eec328af4e80a1985cdcd5e254d4/FeatureServer/0/3321/attachments/15609;;;;;;;;;;;;;-2,947107665;35,28871286
7900;{B390C147-19E7-4112-A592-47D50F5E4A52};30/11/2023 11:09;Inspeccion_231130120939;ZONA 5;Contador Individual;8490;CL/ COVADONGA, Nº 11, Plt 2, D;16;20;N/A;2450;N/A;N/A;SI;;CONTADORES;CL/ COVADONGA, Nº 11, Plt 2, D;1;SI;SI;NO;NO;NO;;1;15;;1;;;;;PE;NO;SI;SI;NO;SI;20;SI;20;CL/ COVADONGA, Nº 11, Plt 2, D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NO APTO;;;30/11/2023 13:06;fjcapilla@sacyr.com;30/11/2023 13:06;fjcapilla@sacyr.com;;;;;;;;;;SI;;;;;Francisco Javier Capilla Tonda;;;-2,950621024;35,2875329
7901;{A150AB0A-F59A-4193-8EAD-AE6F619BA478};30/11/2023 11:11;Inspeccion_231130121144;ZONA 5;Contador Individual;8473;CL/ COVADONGA, Nº 11, Plt 1, D;16;20;N/A;2460;N/A;N/A;SI;;CONTADORES;CL/ COVADONGA, Nº 11, Plt 1, D;1;SI;SI;NO;NO;NO;;1;15;;1;;;;;Cobre;NO;SI;NO;NO;SI;15;SI;15;CL/ COVADONGA, Nº 11, Plt 1, D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NO APTO;;;30/11/2023 13:06;fjcapilla@sacyr.com;30/11/2023 13:06;fjcapilla@sacyr.com;;;;;;;;;;SI;;;;;Francisco Javier Capilla Tonda;;;-2,950652456;35,28752205
7902;{0F190B0B-3892-4933-A860-DF13351E6A5C};30/11/2023 11:13;Inspeccion_231130121348;ZONA 5;Contador Individual;8582;CL/ COVADONGA, Nº 11, Plt BJ, D;16;20;N/A;2470;N/A;N/A;SI;;CONTADORES;CL/ COVADONGA, Nº 11, Plt BJ, D;1;SI;SI;NO;NO;SI;;1;13;1;;;;;;Polipropileno;NO;NO;NO;NO;SI;20;SI;20;CL/ COVADONGA, Nº 11, Plt BJ, D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NO APTO;;;30/11/2023 13:06;fjcapilla@sacyr.com;30/11/2023 13:06;fjcapilla@sacyr.com;;;;;;;;;;SI;;;;;Francisco Javier Capilla Tonda;;;-2,950683637;35,28750637
7903;{129AFD80-81C1-4BF3-8014-FAE4199C7FCE};30/11/2023 11:15;Inspeccion_231130121546;ZONA 5;Contador Individual;8624;CL/ COVADONGA, Nº 11, Plt 2, A;16;20;N/A;2521;N/A;N/A;SI;;CONTADORES;CL/ COVADONGA, Nº 11, Plt 2, A;1;SI;SI;NO;NO;NO;;1;13;1;;;;;;PVC;NO;SI;NO;NO;SI;15;SI;15;CL/ COVADONGA, Nº 11, Plt 2, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NO APTO;;;30/11/2023 13:06;fjcapilla@sacyr.com;30/11/2023 13:06;fjcapilla@sacyr.com;;;;;;;;;;SI;;;;;Francisco Javier Capilla Tonda;;;-2,950642901;35,28751308
